MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
BTC-EUR,0.0001979253465178004160390784,20209.64,0,True,False,,,True,Limit,
BTC-EUR,0.0001981274970256109509030156,20189.02,0,True,False,,,True,Limit,,87
BTC-EUR,0.0001983301592244100793370219,20168.39,0,True,False,,,True,Limit,,88
BTC-EUR,0.000198533137910547916717334,20147.77,0,True,False,,,True,Limit,,89
BTC-EUR,0.0001987365324946651662058463,20127.15,0,True,False,,,True,Limit,,90
BTC-EUR,0.0001989403442563187183467262,20106.53,0,True,False,,,True,Limit,,91
BTC-EUR,0.0001991445744803197863577005,20085.91,0,True,False,,,True,Limit,,92
BTC-EUR,0.0001993493238070936463383516,20065.28,0,True,False,,,True,Limit,,93
BTC-EUR,0.000199554395035884869087328,20044.66,0,True,False,,,True,Limit,,94
BTC-EUR,0.0001997598886138861088971057,20024.04,0,True,False,,,True,Limit,,95
BTC-EUR,0.000199965805847200128777979,20003.42,0,True,False,,,True,Limit,,96
BTC-EUR,0.0002001721480473206957983866,19982.80,0,True,False,,,True,Limit,,97
BTC-EUR,0.0002003790169104861846182053,19962.17,0,True,False,,,True,Limit,,98
BTC-EUR,0.0002005862132081006742204091,19941.55,0,True,False,,,True,Limit,,99
BTC-EUR,0.0002007938384402736217636426,19920.93,0,True,False,,,True,Limit,,100
BTC-EUR,0.0002010018939403456529069145,19900.31,0,True,False,,,True,Limit,,101
BTC-EUR,0.0002012103810471893676410447,19879.69,0,True,False,,,True,Limit,,102
BTC-EUR,0.0002014194025296262763695764,19859.06,0,True,False,,,True,Limit,,103
BTC-EUR,0.00020162875709985260937856,19838.44,0,True,False,,,True,Limit,,104
BTC-EUR,0.0002018385473276071737456491,19817.82,0,True,False,,,True,Limit,,105
BTC-EUR,0.000202048774574182207584911,19797.20,0,True,False,,,True,Limit,,106
BTC-EUR,0.0002022595424788019358260811,19776.57,0,True,False,,,True,Limit,,107
BTC-EUR,0.0002024706480832356834270182,19755.95,0,True,False,,,True,Limit,,108
BTC-EUR,0.0002026821948252195428199072,19735.33,0,True,False,,,True,Limit,,109
BTC-EUR,0.0002028941840889366366535445,19714.71,0,True,False,,,True,Limit,,110
